"barcode","A.DE1.PCRa.0","A.DE1.PCRa.1","A.DE1.PCRa.2","A.DE1.PCRa.3","A.DE1.PCRa.4","A.DE1.PCRb.1","A.DE1.PCRb.2","A.DE1.PCRb.3","A.DE1.PCRb.4","B.DE1.PCRa.0","B.DE1.PCRa.1","B.DE1.PCRa.2","B.DE1.PCRa.3","B.DE1.PCRa.4","B.DE1.PCRb.2","B.DE1.PCRb.3","B.DE1.PCRc.2","B.DE1.PCRc.3","B.DE2.PCRa.0","B.DE2.PCRa.2","B.DE2.PCRa.4","B.DE3.PCRa.2","B.DE3.PCRa.4","B.DE4.PCRa.0","B.DE4.PCRa.2","B.DE4.PCRa.4","C.DE1.PCRa.0","C.DE1.PCRa.1","C.DE1.PCRa.2","C.DE1.PCRa.3","C.DE1.PCRa.4","C.DE1.PCRb.0","C.DE1.PCRb.1","C.DE1.PCRc.0","C.DE1.PCRc.1","C.DE2.PCRa.0","C.DE2.PCRa.2","C.DE2.PCRa.4","C.DE3.PCRa.2","C.DE3.PCRa.4","C.DE3.PCRb.2","C.DE3.PCRb.4","D.DE1.PCRa.0","D.DE1.PCRa.1","D.DE1.PCRa.2","D.DE1.PCRa.3","D.DE1.PCRa.4","D.DE1.PCRb.1","D.DE1.PCRb.2","D.DE1.PCRb.3","D.DE1.PCRb.4","SVX13.1.1","SVX13.1.2","SVX13.1.3","SVX13.1.4","SVX13.2.1","SVX13.2.2","SVX13.2.3","SVX13.2.4","SVX13.3.1","SVX13.3.2","SVX13.3.3","SVX13.3.4","SVX18.1.1","SVX18.1.2","SVX18.1.3","SVX18.1.4","SVX18.2.1","SVX18.2.2","SVX18.2.3","SVX18.2.4","SVX18.3.1","SVX18.3.2","SVX18.3.3","SVX18.3.4","SVX20.1.1","SVX20.1.2","SVX20.1.3","SVX20.1.4","SVX20.2.1","SVX20.2.2","SVX20.2.3","SVX20.2.4","SVX20.3.1","SVX20.3.2","SVX20.3.3","SVX20.3.4","SVX21.1.0","SVX21.1.1","SVX21.1.2","SVX21.1.3","SVX21.1.4","SVX21.2.0","SVX21.2.1","SVX21.2.2","SVX21.2.3","SVX21.2.4","SVX21.3.1","SVX21.3.2","SVX21.3.3","SVX21.3.4","SVX23.1.1","SVX23.1.2","SVX23.1.3","SVX23.1.4","SVX23.2.1","SVX23.2.2","SVX23.2.3","SVX23.2.4","SVX23.3.1","SVX23.3.2","SVX23.3.3","SVX23.3.4","SVX3.1.1","SVX3.1.2","SVX3.1.3","SVX3.1.4","SVX3.2.1","SVX3.2.2","SVX3.2.3","SVX3.2.4","SVX3.3.1","SVX3.3.2","SVX3.3.3","SVX3.3.4","SVX6.1.1","SVX6.1.2","SVX6.1.3","SVX6.1.4","SVX6.2.1","SVX6.2.2","SVX6.2.3","SVX6.2.4","SVX6.3.2","SVX6.3.3","SVX6.3.4"
53,1261,3643,2024,167,424,2548,6337,407,1724,9972,477,7504,7718,8799,221,146,3969,2339,7824,4005,4824,1045,461,133,306,718,390,1504,328,345,234,155,4595,1503,2169,319,328,691,8068,3366,6838,6918,1885,4034,1823,328,652,1882,1645,3392,2293,512,594,319,51,700,403,299,70,594,104,361,59,90,40,365,486,133,65,102,516,122,481,574,380,773,2785,1855,954,2336,2493,1569,1495,2192,2199,1775,1990,3276,962,1883,985,1025,3105,760,574,1144,1070,1889,1691,1945,1302,2019,2104,1529,1172,2406,2892,2292,1750,1856,2817,1772,1686,244,183,81,101,376,164,95,69,223,177,104,79,190,65,40,23,140,1,50,24,38,51,22
151,15120,97909,99414,18786,85752,67856,323210,44130,281439,116447,13184,401155,1040936,2096556,14486,13748,215691,316608,79640,205042,1137298,61803,111419,1679,16869,136402,5042,40814,16780,37419,47173,2327,112117,25075,71333,3698,17016,132247,370324,555624,347143,1221429,15691,83181,76829,24665,103796,38062,61941,268867,339379,43106,160273,399304,223043,54385,107883,308884,241795,42068,20536,267212,145296,22844,6260,179028,491772,14132,14745,49741,661420,7847,66171,171156,367527,5215,26566,35823,34463,14656,24995,31769,49171,12802,21013,25010,41128,23186,14470,50457,47319,79224,22200,11899,16668,49533,76326,27178,36587,58512,70336,18428,40070,57945,83239,21698,42476,64251,93228,16341,40354,43842,73539,54722,102971,101137,217453,88884,127795,187235,209290,49070,95476,150720,229493,114306,186670,396925,1128412,83526,6951,568191,370212,108068,452685,496030
262,1162,2819,1733,181,344,2037,5228,342,1310,7030,313,5097,5454,5602,174,32,3213,1952,5843,1909,3282,717,287,89,185,441,264,1219,242,226,155,88,2223,1109,1809,236,240,369,6122,2668,4831,5296,1536,2973,1436,240,550,1549,1196,2755,1776,2909,2582,1524,195,2977,1640,1028,161,2776,442,1036,209,466,149,1429,1460,681,331,417,1711,613,2356,2165,1312,562,2223,1335,542,2189,2185,1225,1056,2077,1772,1724,1680,2938,701,1422,680,897,2818,437,415,761,887,1650,1471,1614,1146,1794,1776,1117,935,1867,2385,1902,1350,1674,2276,1406,1448,1148,751,280,214,1873,733,443,205,1199,703,369,233,961,289,149,114,553,3,218,64,163,173,57
273,6178,29917,26729,3748,14564,20954,84439,9233,49920,50496,5115,112068,221756,367888,3888,5590,64531,67748,32830,69483,205915,17651,20339,694,4838,24454,2230,14370,5447,9415,9370,1106,49918,8128,22156,1568,5616,27492,118730,113452,100651,240295,7808,28733,22979,6429,21126,14255,19526,66712,70187,36510,92924,149876,45139,32361,59293,114393,50325,30864,14493,102630,32077,8375,3659,110050,206957,9166,10151,27822,240271,5969,57614,106658,156816,1617,9278,8884,6847,4669,8024,8257,9549,4572,6011,7533,10797,9515,4008,14116,9158,17543,8650,2997,3846,10795,17963,8336,9536,14683,16884,7283,13690,14120,19420,8379,13810,17528,20655,6361,13057,12541,19372,44047,50323,33279,61405,69906,62321,63313,51856,40006,48286,54598,63709,60648,72380,72903,113298,45097,1437,102486,40227,39614,89767,51220
323,3498,17852,14804,1723,5278,12164,46534,3913,21185,27800,1969,57761,106323,143792,1360,607,28913,27902,20021,23575,91332,6628,6916,257,1432,8532,998,7142,1741,2975,2746,349,18787,3896,11045,718,1819,8097,55003,45819,44251,99497,4363,18300,11217,2110,7651,7079,7978,26419,25072,21956,46277,79897,25842,23483,33707,57846,25732,22294,7626,56967,14473,5276,1810,44467,98782,6048,6676,14450,123080,3852,23651,58251,70724,2401,15875,17416,8853,9021,15272,12063,11886,9131,11231,10482,16967,12496,6132,20009,13641,22004,12151,4184,5851,17577,25565,14282,17392,23714,18469,10771,21947,19119,24951,13978,21518,22756,25391,10719,19548,19028,21651,21699,30602,20805,34762,30903,30253,34032,27915,27190,41487,35132,42078,35168,35198,43792,63584,26369,928,54895,26462,19909,53047,32320
415,4616,39231,40247,6810,31301,23785,116151,15200,108652,46912,4889,145394,416413,652863,4574,6981,67716,106343,28243,78112,388775,20832,33886,529,5090,40224,1641,12938,4612,9666,10637,865,46837,5961,20645,1117,4858,31734,103405,131880,95935,303523,4173,23705,19457,5721,20291,8863,13023,57741,63025,2745,7695,17769,6479,4386,7096,18873,10333,3120,1194,10745,3889,1220,323,7858,22413,824,897,2227,24891,513,3279,9988,16890,1201,13140,14897,8055,6629,17538,14345,17854,6004,7676,10853,22091,10325,4227,17703,13691,43426,9927,2080,3646,14316,39426,13388,19302,34656,35805,9800,21507,20307,47451,12693,25130,40016,59808,9663,20309,24235,34309,5214,12272,10055,23701,7395,13246,19322,19037,5743,13150,16067,23512,6918,9897,17896,34512,5827,208,26337,13095,5699,20978,15299
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2335,5985,10823,3551,3792,5549,10856,5295,3057,1073,7252,2271,788,288,7053,18735,798,870,2186,20191,522,3640,9387,12868,0,2,4,2,3,1,0,1,2,3,3,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,11,0,1,1,0,1,0,3045,5009,4149,7576,3923,5617,7440,5490,3455,6391,6890,9219,4861,5283,7498,13509,3709,106,10898,4849,3011,8999,6000
622,1006,2652,1394,194,260,1792,4229,298,852,7060,286,5415,5588,6116,140,48,2693,1594,5308,2532,3643,642,328,83,168,453,226,1005,227,231,158,92,2619,1080,1450,223,208,453,5380,2212,4699,4939,1294,3023,1356,195,416,1262,1088,2287,1537,64,81,34,6,57,27,23,3,65,7,21,6,9,1,29,28,10,8,15,51,10,66,47,42,535,1707,1160,520,1776,1820,1049,951,1789,1668,1348,1541,2866,625,1139,581,708,2698,449,373,766,760,1337,1299,1419,965,1362,1427,941,758,1665,2026,1642,1184,1418,1975,1236,1214,34,26,15,8,30,12,10,5,32,24,15,13,16,6,7,4,10,0,10,3,4,6,0
689,1134,9920,9830,2286,10268,6173,30712,4673,31921,11915,1378,37282,111130,203359,1422,2845,19360,31995,7158,22288,113367,5956,11738,176,1630,13337,449,3369,1317,2924,3601,264,12282,1906,5797,299,1379,10194,28635,42838,26629,99283,1124,6332,5561,1891,7148,2561,3936,18831,22791,5462,15647,28198,12087,7846,11789,27943,15622,6551,1937,26988,9622,1649,532,12323,33406,1262,1707,4122,44174,882,5002,12919,21290,779,4424,8476,7777,2479,5123,5934,9725,2049,3508,3212,6053,3528,2858,7889,8680,13240,3675,2159,2954,9420,14578,4310,6700,11319,10807,1662,4609,6443,8735,2872,4947,6868,11144,2039,3726,4121,5118,9479,20350,17421,43689,14861,26097,37021,37278,9800,25078,30358,44264,12014,16766,24102,51646,9890,336,38812,19463,9450,31479,21947
697,926,3024,1575,126,257,1906,4376,265,971,8944,376,6296,6916,7327,147,92,2908,1619,6641,3474,4514,842,327,88,198,474,297,1256,229,256,170,96,4165,1268,1484,225,280,516,5765,2441,5135,5326,1333,3445,1486,178,428,1200,985,2059,1427,937,936,581,79,1094,601,397,77,910,141,426,61,105,45,405,475,186,119,145,608,169,571,625,420,864,2869,2206,990,2819,3155,1921,1755,2934,3148,2119,2470,3588,1278,2139,1184,967,3286,895,740,1355,1142,2224,1972,2309,1286,2265,2402,1699,1111,2788,3224,2360,1640,2464,3122,2181,1717,348,218,127,118,543,266,176,99,363,258,156,131,292,105,77,35,141,2,73,26,57,72,29
