BarcodeID,CellBatch1_fitness,24h_fitness,48h_fitness,72h_fitness,96h_fitness,120h_fitness,168h_fitness,4gen_fitness,6gen_fitness,8gen_fitness,8gen_2_fitness,9gen_fitness,CellBatch1_err,24h_err,48h_err,72h_err,96h_err,120h_err,168h_err,4gen_err,6gen_err,8gen_err,8gen_2_err,9gen_err,Global EC Fitness,Global EC Error,CloneID,Ploidy,Class,Mutated Gene,Mutation Type,Batch,Fermentation_Dependent_Component,Respiration_Dependent_Component,Stationary_Dependent_Rate,Cluster (Figure S6BC), 
23,-0.074784981,-0.070946786,-0.0641108,0.083016359,0.021351778,-0.111435365,-0.156765681,0.144877882,0.006995673,0.064855662,0.072100159,0.075773609,0.072463864,0.135579522,0.205505,0.152201997,0.180201036,0.13373804,0.1667155,0.088680904,0.084930127,0.086285709,0.094043258,0.086313781,0.002390656,0.046549324,130822-1-C3,Haploid,neutral_haploids,NA,NA,NA,-0.072462327,0.007975317,-0.002634129,NA,
53,0.233930572,0.344783694,0.322987,0.478963555,0.613955837,0.467291314,0.554055911,0.152420085,0.206877377,0.259707879,0.328742663,0.402651477,0.064876939,0.122422991,0.18461,0.129362959,0.147846625,0.09513352,0.107214366,0.082676158,0.064366678,0.069728595,0.072476023,0.062591479,0.273094436,0.03883748,131015-1-G4,Diploid,pure_diploids,Other,Other,old,0.386467831,-0.025429477,0.000432188,NA,
143,0.161424028,0.271597844,0.422150094,0.370823828,0.43759852,0.444704654,0.366685973,0.136185159,0.16905509,0.220200893,0.301234363,0.330654066,0.048701878,0.115902277,0.095208362,0.092202829,0.094665076,0.084076465,0.092128476,0.062152149,0.048336698,0.058403946,0.059445931,0.052803081,0.238637278,0.030041086,E2-88-6-G6,Diploid,pure_diploids,NA,NA,NA,0.316159023,0.175644292,-0.000180829,NA,
151,0.579917407,0.74585403,1.773304887,2.022585098,1.60232872,1.347328262,0.387479739,1.117697645,1.421198329,1.454248008,1.123754854,1.65250463,0.031415865,0.110604723,0.046401403,0.049945988,0.066761701,0.071250603,0.073221655,0.041173283,0.031545745,0.048732569,0.046690312,0.041304437,1.077018546,0.02059576,E2-88-10-D3,Haploid,adaptive_haploids,IRA1,Nonsense,old,0.552149458,1.198692667,-0.016663261,3,
163,0.109073362,0.33018264,0.308827509,0.352931506,0.401132633,0.365276033,0.274788973,0.15535781,0.118142396,0.247556331,0.283573467,0.426385847,0.059503101,0.119956473,0.121327068,0.118622673,0.120689976,0.093334862,0.109219828,0.072628019,0.058469664,0.064711028,0.066548771,0.059231099,0.214650114,0.035029053,E2-88-5-A1,Diploid,pure_diploids,NA,NA,NA,0.446685409,-0.024914319,-0.001015699,NA,
273,0.582509529,0.725217903,1.122449036,1.398342994,1.084510411,0.966104982,0.482418772,0.765686718,0.921657377,1.077053344,0.91596317,1.157880183,0.031470667,0.110620118,0.046718969,0.050074402,0.06680326,0.071304489,0.073222131,0.041313109,0.031609867,0.048777171,0.046737469,0.041369503,0.84163296,0.020646237,130822-2-A3,Haploid,adaptive_haploids,IRA1,Frameshift,old,0.547833852,0.463436322,-0.009346498,2,
283,0.209928128,0.289370863,0.558943259,0.645369751,0.952505476,0.479666981,0.355897944,0.157305205,0.158597765,0.21690558,0.274009597,0.342223038,0.04360419,0.114529432,0.086377829,0.079750891,0.080652815,0.080519163,0.088933028,0.057305579,0.044388197,0.056130617,0.056860206,0.049982909,0.26340937,0.027878261,E2-88-7-D5,Diploid,pure_diploids,NA,NA,NA,0.295048721,0.314501129,-0.004333698,NA,
387,-0.055542054,0.02343345,0.175142,0.192644737,0.140899109,0.085358216,0.216400743,-0.098078186,-0.003240435,0.043289169,-0.022560441,0.022466729,0.099632286,0.153393916,0.261163,0.24154396,0.229622914,0.139775321,0.18464586,0.123022119,0.111887588,0.105497277,0.140153923,0.113272631,-0.001118188,0.062480572,131016-4-F10,Haploid,neutral_haploids,NA,NA,NA,0.185113542,0.176993308,0.000538292,NA,
390,0.165249107,0.277768049,0.206508,0.236881709,0.444156139,0.488739874,0.352077701,0.129917587,0.092505666,0.237768753,0.303554822,0.341361878,0.043198389,0.114397197,0.109025,0.084585874,0.091363481,0.079743839,0.088292197,0.056045556,0.043757048,0.054965883,0.055823978,0.0497841,0.221744262,0.028039855,E2-88-10-F11,Diploid,pure_diploids,NA,NA,NA,0.400652741,-0.083136723,0.000919209,NA,
415,0.883349009,0.8873859,1.736467248,1.611056057,0.287742267,0.179071634,-1.722014371,1.052971828,1.306891652,1.198737642,1.019572065,1.368234337,0.032552079,0.111200358,0.049423536,0.052859148,0.074651386,0.091760353,0.21386288,0.042918037,0.032127791,0.049726592,0.04816719,0.042526541,1.128040377,0.021375844,E2-88-4-D10,Haploid,adaptive_haploids,IRA1,Frameshift,old,0.230654929,0.990594906,-0.033892921,1,
