"Barcode","variable","value","Batch","Rep","gene","ploidy","class"
53,"A.DE1.PCRa_fitness",0.393283973335038,"DE","fitness","other","Diploid","other"
151,"A.DE1.PCRa_fitness",1.10267586293871,"DE","fitness","IRA1","Haploid","PKA"
262,"A.DE1.PCRa_fitness",0.39422153905974,"DE","fitness","other","NotSequenced","other"
273,"A.DE1.PCRa_fitness",0.882771767360499,"DE","fitness","IRA1","Haploid","PKA"
323,"A.DE1.PCRa_fitness",0.766346974300961,"DE","fitness","other","NotSequenced","other"
415,"A.DE1.PCRa_fitness",1.14214877224911,"DE","fitness","other","NotSequenced","other"
622,"A.DE1.PCRa_fitness",0.386308147854064,"DE","fitness","other","NotSequenced","other"
689,"A.DE1.PCRa_fitness",1.20212661174205,"DE","fitness","IRA1","Haploid","PKA"
697,"A.DE1.PCRa_fitness",0.345659954397188,"DE","fitness","other","NotSequenced","other"
1379,"A.DE1.PCRa_fitness",1.10799918011169,"DE","fitness","other","NotSequenced","other"
1488,"A.DE1.PCRa_fitness",1.12370217113645,"DE","fitness","other","NotSequenced","other"
1564,"A.DE1.PCRa_fitness",0.344625687206337,"DE","fitness","Diploid","Diploid","Diploid"
1617,"A.DE1.PCRa_fitness",0.819262115556034,"DE","fitness","PDE2","Haploid","PKA"
1641,"A.DE1.PCRa_fitness",0.0760090560413913,"DE","fitness","other","Haploid","other"
1683,"A.DE1.PCRa_fitness",0.0272733326212309,"DE","fitness","other","Haploid","other"
1866,"A.DE1.PCRa_fitness",0.805808286971528,"DE","fitness","PDE2","Haploid","PKA"
2037,"A.DE1.PCRa_fitness",0.387158623019966,"DE","fitness","Diploid","Diploid","Diploid"
2039,"A.DE1.PCRa_fitness",0.308536898086499,"DE","fitness","other","Diploid","other"
2288,"A.DE1.PCRa_fitness",0.76227783971919,"DE","fitness","GPB2","Haploid","PKA"
2468,"A.DE1.PCRa_fitness",0.821840016185998,"DE","fitness","IRA2","Haploid","PKA"
2608,"A.DE1.PCRa_fitness",0.493172935715395,"DE","fitness","GPB1","Haploid","PKA"
2768,"A.DE1.PCRa_fitness",0.773813061597316,"DE","fitness","GPB2","Haploid","PKA"
2776,"A.DE1.PCRa_fitness",0.357390289553888,"DE","fitness","other","NotSequenced","other"
2808,"A.DE1.PCRa_fitness",0.483337065752866,"DE","fitness","other","Diploid","other"
3160,"A.DE1.PCRa_fitness",1.62242192521541,"DE","fitness","other","NotSequenced","other"
3250,"A.DE1.PCRa_fitness",0.382898525574701,"DE","fitness","other","NotSequenced","other"
3379,"A.DE1.PCRa_fitness",0.365260637851282,"DE","fitness","other","Diploid","other"
3406,"A.DE1.PCRa_fitness",0.761038540308565,"DE","fitness","IRA2","Haploid","PKA"
3481,"A.DE1.PCRa_fitness",0.634068414099298,"DE","fitness","other","NotSequenced","other"
3577,"A.DE1.PCRa_fitness",0.253123844894018,"DE","fitness","other","Diploid","other"
3585,"A.DE1.PCRa_fitness",0.373529626260979,"DE","fitness","other","NotSequenced","other"
3675,"A.DE1.PCRa_fitness",0.85539708707003,"DE","fitness","IRA1","Haploid","PKA"
3730,"A.DE1.PCRa_fitness",1.03972003186637,"DE","fitness","other","NotSequenced","other"
3920,"A.DE1.PCRa_fitness",0.324561013015499,"DE","fitness","Diploid","Diploid","Diploid"
4418,"A.DE1.PCRa_fitness",0.375853778185957,"DE","fitness","other","Diploid","other"
4691,"A.DE1.PCRa_fitness",0.350513984082047,"DE","fitness","other","Diploid","other"
4791,"A.DE1.PCRa_fitness",0.549101002540668,"DE","fitness","other","Diploid","other"
4949,"A.DE1.PCRa_fitness",0.847430238231741,"DE","fitness","IRA1","Haploid","PKA"
5564,"A.DE1.PCRa_fitness",0.827989413932194,"DE","fitness","other","Diploid","other"
5654,"A.DE1.PCRa_fitness",0.377900584657147,"DE","fitness","other","NotSequenced","other"
5804,"A.DE1.PCRa_fitness",0.760959651887641,"DE","fitness","PDE2","Haploid","PKA"
6174,"A.DE1.PCRa_fitness",0.961929603485559,"DE","fitness","IRA1","Haploid","PKA"
6271,"A.DE1.PCRa_fitness",0.799399046589292,"DE","fitness","PDE2","Haploid","PKA"
